huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw,type
57.48,4.74,69.06,4.08,57.56,4.8,80.16,4.25,60.54,3.78,R
62.49,4.75,69.66,3.99,57.3,4.6,77.6,4.26,60.31,3.86,R
54.47,4.37,63.29,3.32,47.83,3.45,64.25,3.15,54.97,2.86,R
57.56,4.33,67.15,3.54,55.19,4.21,75.03,3.71,59.33,3.29,R
52.88,4.47,62.02,3.76,47.09,3.64,63.42,3.4,54.54,2.9,R
110.87,8.26,129.05,6.78,80.8,7.98,112.36,7.18,84.69,7.11,R
117.37,9.25,136.52,7,87.49,8.92,119.17,7.89,86.61,7.36,R
102.35,7.01,118.67,5.72,78.75,6.89,104.01,6.12,80.1,6.1,R
108.37,7.49,129.39,6,82.29,6.74,113.39,6.38,86.05,6.15,R
81.39,5.77,94.83,4.8,65.97,5.52,91.63,5.38,73.29,5.11,R
83.13,5.8,95.42,4.4,66.98,5.14,90.6,4.95,75.64,4.56,R
89.63,6.44,104.11,5.26,72.24,6.32,97.78,5.81,76.76,5.29,R
89.05,6.28,102.09,5.37,70.32,5.9,96.12,5.7,75.05,5.12,R
98.94,7.13,119.72,5.6,74.17,6.3,106.5,5.8,83.13,5.86,R
121.59,8.17,148.52,6.44,89.67,7.63,116.71,6.87,83.28,6.8,R
130.06,9.51,155,7.18,94.79,8.64,125.53,7.87,53.83,7.89,R
116.41,6.85,131,5.8,75.36,6.55,119.87,6.1,99.72,6.06,R
107.06,8.62,129.08,6.48,71.03,6.87,100.06,6.1,68.64,5.87,R
120,8.38,130,6.41,89.93,8.46,116.17,7.52,84.18,6.97,R
85.45,6.16,99.32,4.81,53.01,4.27,69.15,4.21,37.61,5.47,R
83.02,5.95,96.97,4.38,51.87,4.21,66.6,4.06,36.6,5.63,R
71.97,6.18,84.68,5.14,63.79,5.43,82.93,4.63,52.71,4.72,R
82.58,7.32,97.52,6.19,71.37,6.3,91.66,5.65,56.93,5.99,R
45.37,3.72,51.37,3.16,39.02,2.99,53.23,2.68,38.07,2.29,R
